date	n_day	regime	inoculant	treatment	sample	shoot_side_area	shoot_height
07/06/25	2	NW	MIXR	NW_MIXR	1	73.81290461	50.86530249
07/06/25	2	NW	MIXR	NW_MIXR	2	174.963922	79.37223026
07/06/25	2	NW	MIXR	NW_MIXR	3	131.3791593	78.25431152
07/06/25	2	NW	MIXR	NW_MIXR	4	80.29594279	64.28032732
07/06/25	2	NW	MIXR	NW_MIXR	5	123.490161	77.41587247
07/06/25	2	NW	MIXR	NW_MIXR	6	118.7255185	66.51616479
07/06/25	2	NW	MIXR	NW_MIXR	7	147.0009381	83.8439052
07/06/25	2	NW	MIXR	NW_MIXR	8	71.15720222	67.91356321
08/06/25	3	NW	MIXR	NW_MIXR	1	224.0163073	129.9580531
08/06/25	3	NW	MIXR	NW_MIXR	2	192.8508587	91.11037698
08/06/25	3	NW	MIXR	NW_MIXR	3	107.2435111	77.13639278
08/06/25	3	NW	MIXR	NW_MIXR	4	132.0821394	93.90517382
08/06/25	3	NW	MIXR	NW_MIXR	5	177.0728622	124.0889797
08/06/25	3	NW	MIXR	NW_MIXR	6	153.7183029	79.93118962
08/06/25	3	NW	MIXR	NW_MIXR	7	146.0636313	83.28494583
08/06/25	3	NW	MIXR	NW_MIXR	8	191.9916609	99.77424719
09/06/25	4	NW	MIXR	NW_MIXR	1	326.8076115	149.5216309
09/06/25	4	NW	MIXR	NW_MIXR	2	243.1529863	137.2245248
09/06/25	4	NW	MIXR	NW_MIXR	3	130.129417	77.13639278
09/06/25	4	NW	MIXR	NW_MIXR	4	207.1447863	129.9580531
09/06/25	4	NW	MIXR	NW_MIXR	5	247.2146488	145.6089154
09/06/25	4	NW	MIXR	NW_MIXR	6	194.7254722	101.4511253
09/06/25	4	NW	MIXR	NW_MIXR	7	164.9659836	118.499386
09/06/25	4	NW	MIXR	NW_MIXR	8	176.447991	85.5207833
10/06/25	5	NW	MIXR	NW_MIXR	1	319.7778111	170.2031276
10/06/25	5	NW	MIXR	NW_MIXR	2	235.8107503	152.0369481
10/06/25	5	NW	MIXR	NW_MIXR	3	153.9526296	119.6173048
10/06/25	5	NW	MIXR	NW_MIXR	4	291.5805004	157.0675824
10/06/25	5	NW	MIXR	NW_MIXR	5	357.8168424	161.5392574
10/06/25	5	NW	MIXR	NW_MIXR	6	259.555854	117.9404266
10/06/25	5	NW	MIXR	NW_MIXR	7	205.9731529	90.27193793
10/06/25	5	NW	MIXR	NW_MIXR	8	223.7038718	128.8401343
11/06/25	6	NW	MIXR	NW_MIXR	1	388.7479643	174.9542822
11/06/25	6	NW	MIXR	NW_MIXR	2	285.9566601	124.9274187
11/06/25	6	NW	MIXR	NW_MIXR	3	367.2680185	160.980298
11/06/25	6	NW	MIXR	NW_MIXR	4	291.0337382	149.2421513
11/06/25	6	NW	MIXR	NW_MIXR	5	207.7696574	139.1808826
11/06/25	6	NW	MIXR	NW_MIXR	6	293.2988961	137.5040045
