date	n_day	treatment	sample	tot_length	tot_area	Area_Efficiency
16/06/25	6	WW_MIX1	5	318.4720639	281.7815345	1.130209133
16/06/25	6	WW_MIX1	6	360.4332953	341.5214564	1.055375258
16/06/25	6	WW_MIXR	1	172.8620296	137.0871261	1.26096472
16/06/25	6	WW_MIXR	2	270.4675029	222.8088427	1.213899321
16/06/25	6	WW_MIXR	3	358.9509692	316.6710013	1.133513861
16/06/25	6	WW_MIXR	4	370.3534778	334.4473342	1.107359635
16/06/25	6	WW_MIXR	5	280.8437856	248.6736021	1.129367103
16/06/25	6	WW_MIXR	6	500.7981756	457.3081925	1.095099943
16/06/25	6	NW_NOI	1	520.8665906	500.0390117	1.041651908
16/06/25	6	NW_NOI	2	350.1710376	327.6723017	1.068662306
16/06/25	6	NW_NOI	3	327.7080958	286.6319896	1.143306078
16/06/25	6	NW_NOI	4	517.331813	467.0351105	1.107693622
16/06/25	6	NW_NOI	5	473.5461802	479.2717815	0.98805354
16/06/25	6	NW_NOI	6	216.0775371	216.2288687	0.999300132
16/06/25	6	NW_MIX1	1	385.7468643	398.8816645	0.967070935
16/06/25	6	NW_MIX1	2	482.0980616	466.0858257	1.034354694
16/06/25	6	NW_MIX1	3	600.1140251	568.8296489	1.054997795
16/06/25	6	NW_MIX1	4	394.9828962	389.8569571	1.013148256
16/06/25	6	NW_MIX1	5	540.3648803	531.7945384	1.016115889
16/06/25	6	NW_MIX1	6	484.2645382	479.479844	1.009978927
16/06/25	6	NW_MIXR	1	196.1231471	178.3094928	1.099903006
16/06/25	6	NW_MIXR	2	569.4412771	552.0676203	1.031470161
16/06/25	6	NW_MIXR	3	474.4583808	415.26658	1.142539284
16/06/25	6	NW_MIXR	4	591.9042189	584.603381	1.012488532
16/06/25	6	NW_MIXR	5	425.9977195	380.7802341	1.11874956
16/06/25	6	NW_MIXR	6	521.7787913	508.2054616	1.026708351
17/06/25	7	WW_NOI	1	340.9350057	311.2483745	1.095379233
17/06/25	7	WW_NOI	2	408.8939567	355.916775	1.148847105
17/06/25	7	WW_NOI	3	380.8437856	311.976593	1.220744742
17/06/25	7	WW_NOI	4	390.4218928	358.946684	1.087687699
17/06/25	7	WW_NOI	5	381.1858609	337.5162549	1.129385194
17/06/25	7	WW_NOI	6	696.4652223	700.2990897	0.994525386
17/06/25	7	WW_MIX1	1	482.7822121	439.6488947	1.098108554
17/06/25	7	WW_MIX1	2	438.4264538	409.6228869	1.070317279
17/06/25	7	WW_MIX1	3	497.2633979	492.7958388	1.00906574
17/06/25	7	WW_MIX1	4	357.6966933	337.8413524	1.058771198
17/06/25	7	WW_MIX1	5	347.5484607	303.810143	1.143965956
17/06/25	7	WW_MIX1	6	457.5826682	420.520156	1.088134925
17/06/25	7	WW_MIXR	1	205.359179	159.7789337	1.285270681
17/06/25	7	WW_MIXR	2	320.4104903	254.5253576	1.258854887
17/06/25	7	WW_MIXR	3	383.5803877	332.0286086	1.155263064
17/06/25	7	WW_MIXR	4	414.2531357	365.3446034	1.13386959
17/06/25	7	WW_MIXR	5	306.2713797	262.1716515	1.16820937
17/06/25	7	WW_MIXR	6	589.6237172	523.7581274	1.125755738
17/06/25	7	NW_NOI	1	593.6145952	561.6124837	1.05698255
17/06/25	7	NW_NOI	2	424.5153934	399.9609883	1.061392
17/06/25	7	NW_NOI	3	441.5051311	385.916775	1.144042342
17/06/25	7	NW_NOI	4	605.8152794	539.7919376	1.122312575
17/06/25	7	NW_NOI	5	561.6875713	562.8218466	0.997984664
17/06/25	7	NW_NOI	6	262.3717218	253.6150845	1.034527273
17/06/25	7	NW_MIX1	1	472.8620296	467.6723017	1.011096932
17/06/25	7	NW_MIX1	2	550.627138	525.526658	1.047762525
17/06/25	7	NW_MIX1	3	690.4218928	646.319896	1.068235555
17/06/25	7	NW_MIX1	4	453.5917902	438.3875163	1.034682269
17/06/25	7	NW_MIX1	5	643.5575827	624.3042913	1.030839595
17/06/25	7	NW_MIX1	6	579.9315849	548.6085826	1.057095356
17/06/25	7	NW_MIXR	1	233.1812999	205.916775	1.132405555
17/06/25	7	NW_MIXR	2	635.4618016	606.7490247	1.047322329
17/06/25	7	NW_MIXR	3	536.8301026	463.7451235	1.157597299
17/06/25	7	NW_MIXR	4	712.6567845	680.6241873	1.04706356
17/06/25	7	NW_MIXR	5	497.2633979	441.9505852	1.125156102
17/06/25	7	NW_MIXR	6	607.1835804	569.6358908	1.065915246
18/06/25	8	WW_NOI	1	356.2143672	317.3211964	1.122567201
18/06/25	8	WW_NOI	2	429.1904219	364.9154746	1.176136535
18/06/25	8	WW_NOI	3	421.2086659	337.4512354	1.248206027
18/06/25	8	WW_NOI	4	422.2348917	379.9219766	1.111372644
18/06/25	8	WW_NOI	5	429.7605473	376.4889467	1.141495789
18/06/25	8	WW_NOI	6	755.1881414	760.7802341	0.992649529
18/06/25	8	WW_MIX1	1	526.4538198	472.3797139	1.114471694
18/06/25	8	WW_MIX1	2	498.8597491	455.2015605	1.095909576
18/06/25	8	WW_MIX1	3	522.8050171	513.420026	1.018279363
18/06/25	8	WW_MIX1	4	426.2257697	393.0039012	1.084533177
18/06/25	8	WW_MIX1	5	389.0535918	336.1118336	1.15751233
18/06/25	8	WW_MIX1	6	498.4036488	446.6449935	1.115883209
18/06/25	8	WW_MIXR	1	229.9885975	177.9583875	1.292372901
18/06/25	8	WW_MIXR	2	344.1277081	273.7581274	1.257050197
18/06/25	8	WW_MIXR	3	414.9372862	352.9258778	1.175706607
18/06/25	8	WW_MIXR	4	467.6168757	407.9973992	1.146127099
18/06/25	8	WW_MIXR	5	373.4321551	307.7503251	1.213425705
18/06/25	8	WW_MIXR	6	659.0649943	580.3381014	1.135656943
18/06/25	8	NW_NOI	1	676.1687571	630.6111834	1.072243523
18/06/25	8	NW_NOI	2	490.3078677	456.6579974	1.073687246
18/06/25	8	NW_NOI	3	530.4446978	462.0416125	1.148045292
18/06/25	8	NW_NOI	4	693.8426454	610.793238	1.135969756
18/06/25	8	NW_NOI	5	635.2337514	617.3081925	1.029038265
18/06/25	8	NW_NOI	6	312.8848347	297.4252276	1.05197813
18/06/25	8	NW_MIX1	1	532.041049	515.786736	1.031513631
18/06/25	8	NW_MIX1	2	603.7628278	564.5513654	1.069455969
18/06/25	8	NW_MIX1	3	765.2223489	709.5968791	1.07839024
18/06/25	8	NW_MIX1	4	526.5678449	491.0663199	1.072294767
18/06/25	8	NW_MIX1	5	739.7947548	714.343303	1.03562916
18/06/25	8	NW_MIX1	6	666.9327252	619.4408322	1.076668974
18/06/25	8	NW_MIXR	1	278.5632839	244.4603381	1.139502981
18/06/25	8	NW_MIXR	2	694.4127708	652.3407022	1.064494011
18/06/25	8	NW_MIXR	3	562.713797	480.1690507	1.171907677
18/06/25	8	NW_MIXR	4	801.0262258	751.6905072	1.065633021
18/06/25	8	NW_MIXR	5	548.6887115	488.686606	1.122782382
18/06/25	8	NW_MIXR	6	684.3785633	637.2301691	1.073989583
19/06/25	9	WW_NOI	1	373.2041049	326.9830949	1.141355962
19/06/25	9	WW_NOI	2	474.1163056	395.396619	1.199090439
19/06/25	9	WW_NOI	3	440.7069555	352.4317295	1.250474684
19/06/25	9	WW_NOI	4	469.6693273	411.6905072	1.140831083
19/06/25	9	WW_NOI	5	480.7297605	416.6579974	1.153775431
19/06/25	9	WW_NOI	6	803.0786773	782.3537061	1.026490539
19/06/25	9	WW_MIX1	1	573.2041049	506.5019506	1.131691801
19/06/25	9	WW_MIX1	2	535.4618016	473.810143	1.130118908
19/06/25	9	WW_MIX1	3	554.5039909	532.0546164	1.042193741
19/06/25	9	WW_MIX1	4	477.7651083	430.923277	1.108701093
19/06/25	9	WW_MIX1	5	414.709236	354.6423927	1.169372992
19/06/25	9	WW_MIX1	6	535.5758267	462.1456437	1.158889701
19/06/25	9	WW_MIXR	1	280.1596351	214.083225	1.308648238
19/06/25	9	WW_MIXR	2	361.9156214	284.7204161	1.271126343
19/06/25	9	WW_MIXR	3	485.7468643	403.0949285	1.205043353
19/06/25	9	WW_MIXR	4	513.6830103	440.1170351	1.167150938
19/06/25	9	WW_MIXR	5	441.6191562	359.7269181	1.227651126
19/06/25	9	WW_MIXR	6	745.6100342	642.8088427	1.15992498
19/06/25	9	NW_NOI	1	767.1607754	708.946684	1.082113497
19/06/25	9	NW_NOI	2	565.6784493	514.7984395	1.098834817
19/06/25	9	NW_NOI	3	616.3055872	533.8751625	1.154400187
19/06/25	9	NW_NOI	4	773.31813	681.6124837	1.134542205
19/06/25	9	NW_NOI	5	698.1755986	665.9687906	1.048360837
19/06/25	9	NW_NOI	6	347.4344356	327.4512354	1.061026492
19/06/25	9	NW_MIX1	1	567.1607754	543.4460338	1.043637712
19/06/25	9	NW_MIX1	2	674.1163056	622.7178153	1.082538975
19/06/25	9	NW_MIX1	3	830.4446978	764.3563069	1.086462806
19/06/25	9	NW_MIX1	4	588.7115165	546.2158648	1.077800105
19/06/25	9	NW_MIX1	5	823.1470924	791.0923277	1.040519625
19/06/25	9	NW_MIX1	6	758.0387685	696.3979194	1.088513833
19/06/25	9	NW_MIXR	1	332.1550741	290.0650195	1.145105586
19/06/25	9	NW_MIXR	2	744.2417332	687.4122237	1.08267166
19/06/25	9	NW_MIXR	3	609.5781072	519.7789337	1.172764165
19/06/25	9	NW_MIXR	4	866.4766249	799.8049415	1.083359929
19/06/25	9	NW_MIXR	5	604.1049031	535.1495449	1.128852503
19/06/25	9	NW_MIXR	6	741.0490308	693.159948	1.06908807
20/06/25	10	WW_NOI	1	383.8084379	332.9648895	1.152699429
20/06/25	10	WW_NOI	2	521.5507412	430.5721717	1.21129691
20/06/25	10	WW_NOI	3	484.6066135	386.6840052	1.25323677
20/06/25	10	WW_NOI	4	518.3580388	447.10013	1.159377965
20/06/25	10	WW_NOI	5	534.5496009	464.083225	1.151839955
20/06/25	10	WW_NOI	6	829.6465222	792.4707412	1.046911235
20/06/25	10	WW_MIX1	1	619.2702395	545.2015605	1.135855589
