date	n_day	regime	inoculant	treatment	shoot_side_area	shoot_height	shootA_rootA
14/06/25	4	NW	NOI	NW_NOI	53.57159953	21.45398773	2.184648425
14/06/25	4	NW	NOI	NW_NOI	46.8018102	36.45677635	6.304703191
14/06/25	4	NW	NOI	NW_NOI	60.16086114	26.85499164	4.854345626
14/06/25	4	NW	NOI	NW_NOI	39.03911844	18.90351367	2.741739944
14/06/25	4	NW	MIX1	NW_MIX1	43.14612397	29.25543782	5.580576224
14/06/25	4	NW	MIX1	NW_MIX1	61.87587443	30.15560513	3.637257979
14/06/25	4	NW	MIX1	NW_MIX1	53.97778689	39.30730619	6.704342389
14/06/25	4	NW	MIX1	NW_MIX1	24.16814789	17.85331846	9.702288574
14/06/25	4	NW	MIX1	NW_MIX1	84.84802621	34.35638595	3.945860085
14/06/25	4	NW	MIX1	NW_MIX1	95.81508492	32.40602343	2.847107414
14/06/25	4	NW	MIXR	NW_MIXR	44.03747956	22.65421082	2.850155262
14/06/25	4	NW	MIXR	NW_MIXR	64.50480929	24.07947574	5.236855128
14/06/25	4	NW	MIXR	NW_MIXR	55.15121704	19.35359732	5.18022492
14/06/25	4	NW	MIXR	NW_MIXR	32.92374209	19.35359732	10.64840003
14/06/25	4	NW	MIXR	NW_MIXR	45.67351198	25.95482432	5.311914363
14/06/25	4	NW	MIXR	NW_MIXR	83.3361066	28.80535416	3.698342463
15/06/25	5	WW	NOI	WW_NOI	257.4099561	96.01784719	1.343633963
15/06/25	5	WW	NOI	WW_NOI	201.649458	61.21137758	1.350984179
15/06/25	5	WW	NOI	WW_NOI	311.5005728	93.01728946	0.816614269
15/06/25	5	WW	NOI	WW_NOI	297.5322409	103.8192973	0.771845411
15/06/25	5	WW	NOI	WW_NOI	276.9295153	103.5192415	0.981457459
15/06/25	5	WW	NOI	WW_NOI	221.5300727	82.21528165	1.478163814
15/06/25	5	WW	MIX1	WW_MIX1	276.0494427	110.8706079	1.528673968
15/06/25	5	WW	MIX1	WW_MIX1	246.1044079	91.66703849	1.246867378
15/06/25	5	WW	MIX1	WW_MIX1	306.4232308	107.5699944	0.948504108
15/06/25	5	WW	MIX1	WW_MIX1	319.5114902	111.9208031	0.996421162
15/06/25	5	WW	MIX1	WW_MIX1	263.7058602	101.7189069	0.95665558
15/06/25	5	WW	MIX1	WW_MIX1	328.1768205	105.469604	0.708489261
15/06/25	5	WW	MIXR	WW_MIXR	320.6623544	102.6190742	0.679976648
15/06/25	5	WW	MIXR	WW_MIXR	276.3879322	90.16675962	0.513050766
15/06/25	5	WW	MIXR	WW_MIXR	241.6814789	89.41662019	0.97708912
15/06/25	5	WW	MIXR	WW_MIXR	246.7362549	88.81650865	1.169335878
15/06/25	5	WW	MIXR	WW_MIXR	212.435989	70.21305076	1.280306112
15/06/25	5	WW	MIXR	WW_MIXR	215.0762069	78.31455661	1.211262082
15/06/25	5	NW	NOI	NW_NOI	211.9621038	85.96597881	1.935166934
15/06/25	5	NW	NOI	NW_NOI	224.3733842	82.06525377	1.505913312
15/06/25	5	NW	NOI	NW_NOI	205.3728422	79.96486336	1.082683103
15/06/25	5	NW	NOI	NW_NOI	252.6485376	83.8655884	1.151210921
15/06/25	5	NW	NOI	NW_NOI	226.1560954	79.5147797	1.678214159
15/06/25	5	NW	NOI	NW_NOI	192.6230723	76.36419409	1.521902036
15/06/25	5	NW	MIX1	NW_MIX1	237.5519074	90.31678751	0.961914194
15/06/25	5	NW	MIX1	NW_MIX1	193.3677491	87.61628556	1.613351207
15/06/25	5	NW	MIX1	NW_MIX1	198.8964104	85.96597881	2.081413611
15/06/25	5	NW	MIX1	NW_MIX1	200.3631981	74.26380368	2.004649564
15/06/25	5	NW	MIX1	NW_MIX1	210.0214308	87.61628556	1.725193934
15/06/25	5	NW	MIX1	NW_MIX1	211.9169719	67.21249303	1.898362294
15/06/25	5	NW	MIXR	NW_MIXR	184.544457	50.85945343	1.639153806
15/06/25	5	NW	MIXR	NW_MIXR	120.7279096	47.85889571	2.137500084
15/06/25	5	NW	MIXR	NW_MIXR	119.6673093	47.25878416	3.500385081
15/06/25	5	NW	MIXR	NW_MIXR	172.0429127	67.06246515	2.225757933
15/06/25	5	NW	MIXR	NW_MIXR	203.9286204	84.91578361	2.028202719
15/06/25	5	NW	MIXR	NW_MIXR	220.6274341	79.96486336	2.129109303
16/06/25	6	WW	NOI	WW_NOI	339.8434241	130.8243168	0.875833613
16/06/25	6	WW	NOI	WW_NOI	230.1728371	68.71277189	1.431953845
16/06/25	6	WW	NOI	WW_NOI	284.9855646	81.91522588	0.931309006
16/06/25	6	WW	NOI	WW_NOI	383.1023779	120.022309	0.810642757
16/06/25	6	WW	NOI	WW_NOI	384.3660719	122.7228109	0.777055063
16/06/25	6	WW	NOI	WW_NOI	257.8387094	73.81372003	2.358708863
16/06/25	6	WW	MIX1	WW_MIX1	370.2397782	129.6240937	1.055268055
16/06/25	6	WW	MIX1	WW_MIX1	330.7042085	123.0228667	1.127632683
16/06/25	6	WW	MIX1	WW_MIX1	373.6923708	122.8728388	1.135402594
16/06/25	6	WW	MIX1	WW_MIX1	478.1502201	133.8248745	0.580939465
16/06/25	6	WW	MIX1	WW_MIX1	367.5995604	121.6726157	0.766544808
